"","code","year","location","Age","sex","mass","faavg","bci","site","date","time","day","month","mult","count"
"450","000696E95F","2016",NA,NA,NA,NA,NA,NA,"SG",2016-09-18,"22:25:30",262,"Sep","multiple",1
"451","000696E973","2012","St.George","A","M",8.56,38.23,0.223907926,NA,NA,NA,NA,NA,NA,NA
"452","000696E9A2","2009","Abyss",NA,"M",8.3,36.9,0.224932249,NA,NA,NA,NA,NA,NA,NA
"453","000696E9A4","2011","Microwave","J","F",11.41,38.76,0.294375645,NA,NA,NA,NA,NA,NA,NA
"454","000696E9C5","2017","St.George","A","M",9.2,38.06666667,0.241681261,"SG",2017-08-29,"2:18:32",241,"Aug",NA,1
"455","000696E9CD","2012","St.George","A","M",9.14,49.36666667,0.185145172,NA,NA,NA,NA,NA,NA,NA
"456","000696E9CD","2014","St.George","A","M",13.5,40.46666667,0.333607908,NA,NA,NA,NA,NA,NA,NA
"457","000696E9E8","2011","St.George","A","M",12.09,38.36,0.315172054,"SG",2011-09-27,"3:19:49",270,"Sep","multiple",12
"458","000696E9E8","2014",NA,NA,NA,NA,NA,NA,"SG",2014-09-14,"5:03:00",257,"Sep","multiple",19
"459","000696E9E8","2014",NA,NA,NA,NA,NA,NA,"SG",2014-09-08,"3:56:51",251,"Sep","multiple",14
"460","000696E9E8","2015",NA,NA,NA,NA,NA,NA,"DA",2015-09-18,"21:25:55",261,"Sep","multiple",18
"461","000696E9E8","2015",NA,NA,NA,NA,NA,NA,"SG",2015-08-31,"22:34:57",243,"Aug","multiple",17
"462","000696E9E8","2015",NA,NA,NA,NA,NA,NA,"SG",2015-09-14,"21:44:03",257,"Sep","multiple",11
"463","000696E9E8","2015",NA,NA,NA,NA,NA,NA,"DA",2015-09-23,"20:39:55",266,"Sep","multiple",8
"464","000696E9E8","2015",NA,NA,NA,NA,NA,NA,"DA",2015-08-25,"22:35:00",237,"Aug","multiple",1
"465","000696E9E8","2016",NA,NA,NA,NA,NA,NA,"SG",2016-09-10,"22:16:09",254,"Sep","multiple",16
"466","000696E9E8","2016",NA,NA,NA,NA,NA,NA,"SG",2016-09-18,"1:26:22",262,"Sep","multiple",7
"467","000696E9E8","2016",NA,NA,NA,NA,NA,NA,"SG",2016-09-19,"0:50:54",263,"Sep","multiple",6
"468","000696E9E8","2016",NA,NA,NA,NA,NA,NA,"SG",2016-09-17,"22:07:15",261,"Sep","multiple",3
"469","000696E9E8","2016",NA,NA,NA,NA,NA,NA,"SG",2016-09-11,"1:18:53",255,"Sep","multiple",2
