,code,year,location,Age,sex,mass,faavg,bci,site,date,time,day,month,mult,count
1,00___F52BB,2013,St.George,A,M,NA,38.1,NA,NA,NA,NA,NA,NA,NA,NA
2,000306C9A3,2013,Abyss,A,M,10.9,38.3,0.2845953,NA,NA,NA,NA,NA,NA,NA
3,0006074EDC,2016,St.George,A,F,8.1,39.1,0.207161125,NA,NA,NA,NA,NA,NA,NA
4,0006098B0D,2009,Bob.Walden's,A,F,10,39.11,0.255689082,NA,NA,NA,NA,NA,NA,NA
5,00060E79AE,2015,St.George,J,M,7.9,37.14,NA,NA,NA,NA,NA,NA,NA,NA
6,000619FFB,2008,Altamont-Curling.Rink,A,F,9.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,000646E4AA,2009,Firecamp,NA,F,8.1,38.65,0.209573092,NA,NA,NA,NA,NA,NA,NA
8,00064D12D9,2014,Abyss,A,M,7.8,37.56666667,0.207630878,NA,NA,NA,NA,NA,NA,NA
9,0006758BB7,2011,Shoal.Lake-Korowiz,A,F,9.14,39.28,0.232688391,NA,NA,NA,NA,NA,NA,NA
10,0006758CCE,2009,Altamont-Curling.Rink,J,F,8.4,39,0.215384615,NA,NA,NA,NA,NA,NA,NA
11,0006758F6D,2014,Squeaky,A,F,9.7,38.63333333,0.251078516,NA,NA,NA,NA,NA,NA,NA
12,00067591CA,2008,St.George,NA,M,11,37.32,0.294748124,NA,NA,NA,NA,NA,NA,NA
13,00067591CA,2009,NA,NA,NA,NA,NA,NA,SG,02/06/2009,0:07:36,153,Jun,NA,1
14,00067596F7,2012,St.George,A,F,8.78,37.2,0.236021505,NA,NA,NA,NA,NA,NA,NA
15,000675975D,2011,St.George,A,F,13.3,37.805,0.351805317,NA,NA,NA,NA,NA,NA,NA
16,000675982F,2012,St.George,A,M,7.92,39.25666667,0.201749172,NA,NA,NA,NA,NA,NA,NA
17,000675A013,2009,Microwave,J,M,9.36,35.96,0.26028921,NA,NA,NA,NA,NA,NA,NA
18,000675A80F,2012,St.George,A,F,8.95,37.78333333,0.23687693,NA,NA,NA,NA,NA,NA,NA
19,000675A80F,2015,NA,NA,NA,NA,NA,NA,SG,26/04/2015,0:56:10,116,Apr,multiple,1
20,000675A80F,2016,NA,NA,NA,NA,NA,NA,SG,01/05/2016,0:31:15,122,May,multiple,2
21,000675AF9E,2009,Abyss,NA,M,8.1,38.48,0.21049896,NA,NA,NA,NA,NA,NA,NA
22,000675B0F8,2013,St.George,A,M,8.1,38.23333333,0.211857018,NA,NA,NA,NA,NA,NA,NA
23,000675B0F8,2014,St.George,A,M,11.8,38.53333333,0.306228374,NA,NA,NA,NA,NA,NA,NA
24,000675B1C2,2012,St.George,J,F,8.25,38.70333333,0.213159935,NA,NA,NA,NA,NA,NA,NA
25,000675B3A0,2009,Firecamp,NA,M,8.2,40.18,0.204081633,NA,NA,NA,NA,NA,NA,NA
26,000675B3A0,2011,Firecamp,A,M,9.04,40.22333333,0.224745173,NA,NA,NA,NA,NA,NA,NA
27,000675B3A0,2012,NA,NA,NA,NA,NA,NA,FC,26/05/2012,23:34:28,147,May,multiple,1
28,000675B3A0,2014,Firecamp,A,M,9.4,40.5,0.232098765,NA,NA,NA,NA,NA,NA,NA
29,000675B3A0,2017,NA,NA,NA,NA,NA,NA,FC,30/05/2017,23:31:56,150,May,multiple,2
30,000675B4B8,2009,Abyss,NA,M,8.2,39.67,0.206705319,NA,NA,NA,NA,NA,NA,NA
31,000675B5A0,2011,Nutimik.Lake-Mitch.Diane's,A,F,8.5,36.38,0.23364486,NA,NA,NA,NA,NA,NA,NA
32,000675B5ED,2011,Firecamp,J,M,8.96,39.235,0.228367529,NA,NA,NA,NA,NA,NA,NA
33,000675B763,2012,St.George,A,M,8.12,38.19666667,0.212583995,NA,NA,NA,NA,NA,NA,NA
34,000675BA81,2009,Abyss,NA,M,7.9,38.18,0.206914615,NA,NA,NA,NA,NA,NA,NA
35,000675BE67,2011,St.George,A,F,12.52,39.025,0.320819987,NA,NA,NA,NA,NA,NA,NA
36,000675BEF1,2017,Richard.Lake,A,M,13.4,37.96666667,0.352941176,NA,NA,NA,NA,NA,NA,NA
37,000675BFD1,2011,Richard.Lake,A,M,9.35,38.31,0.244061603,NA,NA,NA,NA,NA,NA,NA
38,000675C7EC,2011,Abyss,A,F,9.55,40.175,0.237710019,NA,NA,NA,NA,NA,NA,NA
39,00067CDA6B,2013,St.George,A,M,10.2,38.3,0.266318538,NA,NA,NA,NA,NA,NA,NA
40,00067CDAB2,2013,St.George,A,M,13.3,38.4,0.346354167,NA,NA,NA,NA,NA,NA,NA
41,00067CDAB2,2013,St.George,A,M,13.1,38.5,0.34025974,NA,NA,NA,NA,NA,NA,NA
42,00067CDAB2,2014,NA,NA,NA,NA,NA,NA,SG,31/05/2014,3:51:15,151,May,NA,1
43,00067CDAF9,2017,Richard.Lake,J,F,9.7,38.43333333,0.252385082,NA,NA,NA,NA,NA,NA,NA
44,00067CDB44,2013,St.George,A,F,9.3,38.83333333,0.239484979,NA,NA,NA,NA,NA,NA,NA
45,00067CDD18,2014,St.George,A,F,9.4,37.68333333,0.249447147,NA,NA,NA,NA,NA,NA,NA
46,00067CDDE4,2015,Kenora-Sandy.Lake.Sala,A,F,9.3,37.67333333,NA,NA,NA,NA,NA,NA,NA,NA
47,00067CE165,2013,St.George,J,F,8.1,37.2,0.217741935,NA,NA,NA,NA,NA,NA,NA
48,00067CE165,2014,NA,NA,NA,NA,NA,NA,SG,07/06/2014,2:37:32,158,Jun,NA,1
