"","date","time","code","unit","rawfile","site","datetime"
"1","12/11/2016","6:11:26 PM","0006D774B6",5,"SG Fall 2016.csv","SG",2016-11-12 18:11:26
"2","12/11/2016","6:11:26 PM","0006D774B6",5,"SG Fall 2016.csv","SG",2016-11-12 18:11:26
"3","20/09/2016","9:38:03 PM","00074EFE33",9,"SG Fall 2016-4.csv","SG",2016-09-20 21:38:03
"4","20/09/2016","10:00:50 PM","0006F22662",9,"SG Fall 2016-4.csv","SG",2016-09-20 22:00:50
"5","20/09/2016","10:11:23 PM","00069D17D1",9,"SG Fall 2016-4.csv","SG",2016-09-20 22:11:23
"6","20/09/2016","10:11:27 PM","0006D73389",9,"SG Fall 2016-4.csv","SG",2016-09-20 22:11:27
"7","20/09/2016","10:19:14 PM","0006EA8308",9,"SG Fall 2016-4.csv","SG",2016-09-20 22:19:14
"8","20/09/2016","10:20:04 PM","0006969106",9,"SG Fall 2016-4.csv","SG",2016-09-20 22:20:04
"9","20/09/2016","10:29:33 PM","0006DEADD9",9,"SG Fall 2016-4.csv","SG",2016-09-20 22:29:33
"10","20/09/2016","10:35:20 PM","00074F9C45",9,"SG Fall 2016-4.csv","SG",2016-09-20 22:35:20
"11","20/09/2016","10:42:34 PM","0006C9A045",9,"SG Fall 2016-4.csv","SG",2016-09-20 22:42:34
"12","20/09/2016","10:42:34 PM","00074F7F44",9,"SG Fall 2016-4.csv","SG",2016-09-20 22:42:34
"13","20/09/2016","10:42:34 PM","00074F7F44",9,"SG Fall 2016-4.csv","SG",2016-09-20 22:42:34
"14","20/09/2016","10:44:28 PM","0006EA13F6",9,"SG Fall 2016-4.csv","SG",2016-09-20 22:44:28
"15","20/09/2016","10:48:29 PM","00075850C9",9,"SG Fall 2016-4.csv","SG",2016-09-20 22:48:29
"16","20/09/2016","10:48:30 PM","00075850C9",9,"SG Fall 2016-4.csv","SG",2016-09-20 22:48:30
"17","20/09/2016","10:48:30 PM","00075850C9",9,"SG Fall 2016-4.csv","SG",2016-09-20 22:48:30
"18","20/09/2016","10:48:30 PM","00075850C9",9,"SG Fall 2016-4.csv","SG",2016-09-20 22:48:30
"19","20/09/2016","10:48:30 PM","00075850C9",9,"SG Fall 2016-4.csv","SG",2016-09-20 22:48:30
"20","20/09/2016","10:48:31 PM","00075850C9",9,"SG Fall 2016-4.csv","SG",2016-09-20 22:48:31
"21","20/09/2016","10:49:54 PM","0006F2305B",9,"SG Fall 2016-4.csv","SG",2016-09-20 22:49:54
"22","20/09/2016","10:58:38 PM","0006E8FBA5",9,"SG Fall 2016-4.csv","SG",2016-09-20 22:58:38
"23","20/09/2016","11:08:48 PM","000786B435",9,"SG Fall 2016-4.csv","SG",2016-09-20 23:08:48
"24","20/09/2016","11:23:11 PM","0007285703",9,"SG Fall 2016-4.csv","SG",2016-09-20 23:23:11
"25","20/09/2016","11:33:19 PM","00069711BE",9,"SG Fall 2016-4.csv","SG",2016-09-20 23:33:19
"26","21/09/2016","12:21:34 AM","0006A94489",9,"SG Fall 2016-4.csv","SG",2016-09-21 00:21:34
"27","21/09/2016","12:21:34 AM","0006A94489",9,"SG Fall 2016-4.csv","SG",2016-09-21 00:21:34
"28","21/09/2016","1:25:28 AM","00069674A5",9,"SG Fall 2016-4.csv","SG",2016-09-21 01:25:28
"29","21/09/2016","1:25:28 AM","00069674A5",9,"SG Fall 2016-4.csv","SG",2016-09-21 01:25:28
"30","21/09/2016","3:18:27 AM","0006F22CCF",9,"SG Fall 2016-4.csv","SG",2016-09-21 03:18:27
"31","05/12/2016","5:56:30 PM","0006C75C2A",9,"SG Fall 2016-4.csv","SG",2016-12-05 17:56:30
"32","05/12/2016","5:56:31 PM","0006C75C2A",9,"SG Fall 2016-4.csv","SG",2016-12-05 17:56:31
"33","05/12/2016","5:56:31 PM","0006C75C2A",9,"SG Fall 2016-4.csv","SG",2016-12-05 17:56:31
"34","05/12/2016","5:56:32 PM","0006C75C2A",9,"SG Fall 2016-4.csv","SG",2016-12-05 17:56:32
"35","05/12/2016","6:46:09 PM","0006A943AF",9,"SG Fall 2016-4.csv","SG",2016-12-05 18:46:09
"36","06/12/2016","5:35:24 AM","0006D131E4",9,"SG Fall 2016-4.csv","SG",2016-12-06 05:35:24
"37","06/12/2016","5:35:39 AM","0006D131E4",9,"SG Fall 2016-4.csv","SG",2016-12-06 05:35:39
"38","06/12/2016","5:51:47 AM","00074F80B5",9,"SG Fall 2016-4.csv","SG",2016-12-06 05:51:47
"39","07/12/2016","5:45:27 AM","0006E9300A",9,"SG Fall 2016-4.csv","SG",2016-12-07 05:45:27
"40","07/12/2016","5:45:27 AM","0006E9300A",9,"SG Fall 2016-4.csv","SG",2016-12-07 05:45:27
"41","07/12/2016","5:46:06 AM","0006E9300A",9,"SG Fall 2016-4.csv","SG",2016-12-07 05:46:06
"42","07/12/2016","5:46:06 AM","0006E9300A",9,"SG Fall 2016-4.csv","SG",2016-12-07 05:46:06
"43","07/12/2016","5:46:10 AM","0006E9300A",9,"SG Fall 2016-4.csv","SG",2016-12-07 05:46:10
"44","07/12/2016","5:46:20 AM","0006E9300A",9,"SG Fall 2016-4.csv","SG",2016-12-07 05:46:20
"45","07/12/2016","5:46:20 AM","0006E9300A",9,"SG Fall 2016-4.csv","SG",2016-12-07 05:46:20
"46","07/12/2016","5:46:21 AM","0006E9300A",9,"SG Fall 2016-4.csv","SG",2016-12-07 05:46:21
"47","07/12/2016","5:46:21 AM","0006E9300A",9,"SG Fall 2016-4.csv","SG",2016-12-07 05:46:21
"48","07/12/2016","5:47:30 AM","0006E9300A",9,"SG Fall 2016-4.csv","SG",2016-12-07 05:47:30
"49","07/12/2016","5:47:31 AM","0006E9300A",9,"SG Fall 2016-4.csv","SG",2016-12-07 05:47:31
"50","07/12/2016","5:47:41 AM","0006E9300A",9,"SG Fall 2016-4.csv","SG",2016-12-07 05:47:41
"51","07/12/2016","5:59:08 AM","0006E9300A",9,"SG Fall 2016-4.csv","SG",2016-12-07 05:59:08
"52","07/12/2016","5:59:08 AM","0006E9300A",9,"SG Fall 2016-4.csv","SG",2016-12-07 05:59:08
"53","07/12/2016","5:59:08 AM","0006E9300A",9,"SG Fall 2016-4.csv","SG",2016-12-07 05:59:08
"54","07/12/2016","5:59:08 AM","0006E9300A",9,"SG Fall 2016-4.csv","SG",2016-12-07 05:59:08
"55","07/12/2016","5:59:09 AM","0006E9300A",9,"SG Fall 2016-4.csv","SG",2016-12-07 05:59:09
"56","07/12/2016","5:59:10 AM","0006E9300A",9,"SG Fall 2016-4.csv","SG",2016-12-07 05:59:10
"57","07/12/2016","5:59:10 AM","0006E9300A",9,"SG Fall 2016-4.csv","SG",2016-12-07 05:59:10
"58","07/12/2016","5:59:10 AM","0006E9300A",9,"SG Fall 2016-4.csv","SG",2016-12-07 05:59:10
"59","07/12/2016","5:59:11 AM","0006E9300A",9,"SG Fall 2016-4.csv","SG",2016-12-07 05:59:11
"60","07/12/2016","5:59:11 AM","0006E9300A",9,"SG Fall 2016-4.csv","SG",2016-12-07 05:59:11
"61","07/12/2016","5:59:12 AM","0006E9300A",9,"SG Fall 2016-4.csv","SG",2016-12-07 05:59:12
"62","07/12/2016","5:59:12 AM","0006E9300A",9,"SG Fall 2016-4.csv","SG",2016-12-07 05:59:12
"63","07/12/2016","5:59:12 AM","0006E9300A",9,"SG Fall 2016-4.csv","SG",2016-12-07 05:59:12
"64","07/12/2016","5:59:13 AM","0006E9300A",9,"SG Fall 2016-4.csv","SG",2016-12-07 05:59:13
"65","07/12/2016","5:59:13 AM","0006E9300A",9,"SG Fall 2016-4.csv","SG",2016-12-07 05:59:13
"66","07/12/2016","5:59:13 AM","0006E9300A",9,"SG Fall 2016-4.csv","SG",2016-12-07 05:59:13
"67","07/12/2016","5:59:13 AM","0006E9300A",9,"SG Fall 2016-4.csv","SG",2016-12-07 05:59:13
"68","07/12/2016","5:59:14 AM","0006E9300A",9,"SG Fall 2016-4.csv","SG",2016-12-07 05:59:14
"69","07/12/2016","5:59:14 AM","0006E9300A",9,"SG Fall 2016-4.csv","SG",2016-12-07 05:59:14
"70","07/12/2016","5:59:14 AM","0006E9300A",9,"SG Fall 2016-4.csv","SG",2016-12-07 05:59:14
"71","07/12/2016","5:59:15 AM","0006E9300A",9,"SG Fall 2016-4.csv","SG",2016-12-07 05:59:15
"72","07/12/2016","5:59:16 AM","0006E9300A",9,"SG Fall 2016-4.csv","SG",2016-12-07 05:59:16
"73","07/12/2016","5:59:17 AM","0006E9300A",9,"SG Fall 2016-4.csv","SG",2016-12-07 05:59:17
"74","07/12/2016","5:59:17 AM","0006E9300A",9,"SG Fall 2016-4.csv","SG",2016-12-07 05:59:17
"75","07/12/2016","5:59:17 AM","0006E9300A",9,"SG Fall 2016-4.csv","SG",2016-12-07 05:59:17
"76","07/12/2016","5:59:18 AM","0006E9300A",9,"SG Fall 2016-4.csv","SG",2016-12-07 05:59:18
"77","07/12/2016","5:59:18 AM","0006E9300A",9,"SG Fall 2016-4.csv","SG",2016-12-07 05:59:18
"78","07/12/2016","5:59:18 AM","0006E9300A",9,"SG Fall 2016-4.csv","SG",2016-12-07 05:59:18
"79","07/12/2016","5:59:18 AM","0006E9300A",9,"SG Fall 2016-4.csv","SG",2016-12-07 05:59:18
