pitID,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,sumobs,group,Fa,Fj,Ma,Mj,mass,FAavg,BCI,AB,DA,FC,IG,LP,MA,MW,OK,PC,RL,SG,SQ
6969369,0,0,0,0,1,0,0,0,0,0,1,MA,0,0,1,0,8.99,37.81333333,0.237746827,0,0,0,0,0,0,0,0,0,0,1,0
6969394,0,0,0,1,0,0,0,0,0,0,1,FJ,0,1,0,0,8.56,38.095,0.224701404,0,0,1,0,0,0,0,0,0,0,0,0
6969410,0,0,0,0,0,1,1,0,0,0,2,MA,0,0,1,0,7.7,38.5,0.2,0,0,0,0,0,0,0,0,0,0,1,0
6969539,1,0,0,0,0,0,0,0,0,0,1,FA,1,0,0,0,11.9,39.99,0.297574394,0,0,0,0,0,0,0,0,0,0,1,0
6969734,0,0,0,1,0,0,0,0,0,0,1,MJ,0,0,0,1,8.6,38.05,0.226018397,0,0,1,0,0,0,0,0,0,0,0,0
6969924,0,0,0,1,1,0,1,1,1,0,5,FJ,0,1,0,0,8.55,38.00666,0.224960573,1,0,0,0,0,0,0,0,0,0,0,0
6969991,1,1,0,0,0,0,0,0,0,0,2,FA,1,0,0,0,11.3,37.55,0.300932091,0,0,0,0,0,0,0,0,0,0,1,0
6970092,1,0,0,0,0,0,0,0,0,0,1,FA,1,0,0,0,12,38.2,0.314136126,0,0,0,0,0,0,0,0,0,0,1,0
6970125,0,1,1,0,1,0,0,0,0,0,3,MA,0,0,1,0,8.645,39.57222222,0.21849138,0,0,0,0,0,0,1,0,0,0,0,0
6970194,0,0,0,0,0,1,0,0,0,0,1,MA,0,0,1,0,7.6,38.46666667,0.197573657,0,0,0,0,0,0,0,0,0,0,1,0
6970202,0,0,0,0,1,0,1,1,0,0,3,MA,0,0,1,0,8.79,36.61,0.240098334,0,0,0,0,0,0,0,0,0,0,1,0
6970238,0,0,0,0,1,0,0,0,0,0,1,FA,1,0,0,0,9.01,36.01666667,0.250161962,0,0,0,0,0,0,0,0,0,0,1,0
6970247,0,0,0,1,0,0,0,0,0,0,1,MA,0,0,1,0,8.35,37.34,0.223620782,0,0,0,0,0,0,1,0,0,0,0,0
6970255,0,0,0,0,0,1,1,0,0,0,2,MA,0,0,1,0,8,38.4,0.208333333,0,0,0,0,0,0,0,0,0,0,1,0
6970382,0,0,0,1,0,0,0,0,0,0,1,MJ,0,0,0,1,7.74,38.2033,0.202600299,0,0,0,0,0,0,0,0,0,0,1,0
6970443,0,0,0,0,0,0,1,0,0,0,1,FA,1,0,0,0,8.6,37.1,0.23180593,0,0,0,0,0,0,0,0,0,0,0,1
6970499,0,0,0,0,0,1,0,1,0,0,2,MA,0,0,1,0,8.4,38.3,0.219321149,0,0,0,0,0,0,0,0,0,0,1,0
6970605,0,0,0,0,0,1,0,0,0,0,1,MA,0,0,1,0,8.4,39.46666667,0.212837838,0,0,0,0,0,0,0,0,0,0,1,0
6970766,0,0,0,1,0,0,0,0,0,0,1,MJ,0,0,0,1,9.04,39.385,0.229529009,0,0,0,0,0,0,0,0,0,1,0,0
