cave,index,year,label,estimate,SE,LCI,UCI
SG,F-MY,2014-2015 ,Phi,0.5542142,0.0959801,0.3673218,0.7269393
SG,F-MY,2015-2016 ,Phi,0.6080926,0.1587836,0.2959635,0.851346
SG,F-MY,2016-2017 ,Phi,0.5594595,0.1086419,0.3486448,0.7508104
SG,M-MA,2012-2013,Phi,0.6827801,0.0826164,0.5047393,0.8196825
SG,M-MA,2013-2014 ,Phi,0.6714032,0.0491438,0.5690421,0.7597178
SG,M-MA,2014-2015 ,Phi,0.6681828,0.0314116,0.6040318,0.7266441
SG,M-MA,2015-2016 ,Phi,0.6697637,0.0328536,0.6025216,0.7307144
SG,M-MA,2016-2017 ,Phi,0.6619259,0.0706018,0.5133755,0.7841915
SG,M-MY,2012-2013,Phi,0.5872547,0.0841412,0.4187859,0.7375001
SG,M-MY,2013-2014 ,Phi,0.6240096,0.1309708,0.357206,0.8321185
SG,M-MY,2014-2015 ,Phi,0.5627213,0.0932509,0.3797613,0.7300722
SG,M-MY,2015-2016 ,Phi,0.5841843,0.0767611,0.4306033,0.7229894
SG,M-MY,2016-2017 ,Phi,0.6127736,0.1297931,0.351345,0.8221678
SG,F-JUV,2011-2012,Phi,0.3596983,0.1031899,0.1892598,0.5748042
SG,F-JUV,2012-2013,Phi,0.3168695,0.103729,0.1534978,0.5426547
SG,F-JUV,2013-2014 ,Phi,0.3468149,0.0810943,0.2083819,0.5171352
SG,F-JUV,2014-2015 ,Phi,0.155195,0.1375054,0.0229765,0.5893287
SG,F-JUV,2015-2016 ,Phi,0.1883396,0.1231912,0.0456365,0.5296316
SG,F-JUV,2016-2017 ,Phi,0.7150908,0.3430286,0.0847263,0.9855182
SG,M-JUV,2011-2012,Phi,0.5218945,0.1258108,0.2889236,0.7457147
SG,M-JUV,2012-2013,Phi,0.3971024,0.1152345,0.2040867,0.6285122
SG,M-JUV,2013-2014 ,Phi,0.4561987,0.0745446,0.3176473,0.6018774
SG,M-JUV,2014-2015 ,Phi,0.2399472,0.175961,0.0454745,0.6765856
SG,M-JUV,2015-2016 ,Phi,0.353041,0.1206057,0.162376,0.6056964
SG,M-JUV,2016-2017 ,Phi,0.4418291,29.9557613,0,1
SG,F-RT,2011-2012,Phi,0.5738642,0.1082883,0.3611707,0.7623409
SG,F-RT,2012-2013,Phi,0.332028,0.0768555,0.2012938,0.4950437
SG,F-RT,2013-2014 ,Phi,0.4702603,0.0320854,0.4081684,0.5332865
SG,F-RT,2014-2015 ,Phi,0.3828446,0.0506734,0.2894926,0.4857203
SG,F-RT,2015-2016 ,Phi,0.3440696,0.148257,0.1264443,0.655284
SG,F-RT,2016-2017 ,Phi,0.1320995,0.0705518,0.0435779,0.3370664
SG,M-RT,2011-2012,Phi,0.635075,0.1023469,0.4227442,0.805279
SG,M-RT,2012-2013,Phi,0.474362,0.069093,0.3439459,0.6083722
SG,M-RT,2013-2014 ,Phi,0.5670434,0.0303826,0.5068089,0.6253594
SG,M-RT,2014-2015 ,Phi,0.4197556,0.0572883,0.3132882,0.5342557
SG,M-RT,2015-2016 ,Phi,0.3954676,0.183144,0.1272093,0.7459427
SG,M-RT,2016-2017 ,Phi,0.2029348,0.0928715,0.0763219,0.4396211
SG,F-MA,2011-2012,p,0.5636175,0.075607,0.4141936,0.7023198
SG,F-MA,2012-2013,p,0.1529477,0.0277164,0.1061219,0.215455
SG,F-MA,2013-2014 ,p,0.4583603,0.0231091,0.4135314,0.5038736
SG,F-MA,2014-2015 ,p,0.3339174,0.0214541,0.2932648,0.3771976
SG,F-MA,2015-2016 ,p,0.4060374,0.0312929,0.3464481,0.4685283
SG,F-MA,2016-2017 ,p,0.5891069,0.092188,0.4046356,0.7515201
SG,F-MY,2011-2012,p,0.5636126,0.0756231,0.4141579,0.7023422
SG,F-MY,2012-2013,p,0.1529486,0.0277251,0.1061104,0.215478
SG,F-MY,2013-2014 ,p,0.4583775,0.0231789,0.4134148,0.5040284
SG,F-MY,2014-2015 ,p,0.3339377,0.0216185,0.2929848,0.377558
SG,F-MY,2015-2016 ,p,0.4060402,0.0313318,0.3463792,0.4686099
SG,F-MY,2016-2017 ,p,0.5891368,0.0922781,0.4044856,0.7516825
SG,M-MA,2011-2012,p,0.5636141,0.075595,0.4142137,0.7022967
SG,M-MA,2012-2013,p,0.1529668,0.0277178,0.106138,0.2154763
SG,M-MA,2013-2014 ,p,0.4583613,0.0231052,0.4135398,0.503867
SG,M-MA,2014-2015 ,p,0.3339205,0.0214575,0.2932617,0.3772078
SG,M-MA,2015-2016 ,p,0.4060329,0.0312908,0.3464475,0.4685198
SG,M-MA,2016-2017 ,p,0.5890765,0.0921851,0.4046149,0.7514892
SG,M-MY,2011-2012,p,0.563565,0.0756552,0.4140526,0.702352
SG,M-MY,2012-2013,p,0.1529673,0.0277377,0.10611,0.2155275
SG,M-MY,2013-2014 ,p,0.4583876,0.0232243,0.4133379,0.504128
SG,M-MY,2014-2015 ,p,0.3339111,0.0214994,0.2931759,0.3772852
SG,M-MY,2015-2016 ,p,0.4060136,0.0313721,0.3462789,0.4686653
SG,M-MY,2016-2017 ,p,0.5890954,0.0921764,0.4046482,0.7514925
SQ,F-MA,2014-2015,Phi,0.3826033,0.1034938,0.2079635,0.5939258
SQ,F-MA,2015-2016 ,Phi,0.8272213,0.2483924,0.1370233,0.9931209
SQ,F-MA,2016-2017 ,Phi,0.516921,0.0590472,0.4023335,0.6297562
SQ,F-RT,2013-2014 ,Phi,0.4972423,0.0752972,0.3540282,0.6409103
SQ,F-RT,2014-2015 ,Phi,0.3283427,0.0517083,0.2359075,0.4363149
SQ,F-RT,2015-2016 ,Phi,0.4500622,67.6114236,0,1
SQ,F-RT,2016-2017 ,Phi,0.0808441,0.0225932,0.0462268,0.1376436
SQ,M-MA,2014-2015,Phi,0.5487321,0.1005443,0.3542801,0.7293597
SQ,M-MA,2015-2016 ,Phi,0.6950304,0.0931075,0.4906982,0.8435257
SQ,M-MA,2016-2017 ,Phi,0.9632074,0.095397,0.118042,0.9998048
SQ,M-RT,2013-2014 ,Phi,0.4869102,0.0609634,0.3703649,0.6048964
