cave,index,year,label,estimate,se,LSE,USE
AB,F-RT,2011-12,Phi,0.2606822,0.06425479,0.19642741,0.32493699
AB,F-MA,2012-13,Phi,0.6717179,0.07949919,0.59221871,0.75121709
AB,F-MA,2013-14 ,Phi,0.6724391,0.06542494,0.60701416,0.73786404
AB,F-MA,2014-15 ,Phi,0.6543166,0.05658048,0.59773612,0.71089708
AB,F-MA,2015-16 ,Phi,0.5227683,0.24545515,0.27731315,0.76822345
AB,F-MA,2016-17 ,Phi,0.5277423,0.26377366,0.26396864,0.79151596
AB,F-RT,2012-13,Phi,0.3064705,0.06748781,0.23898269,0.37395831
AB,F-RT,2013-14 ,Phi,0.298984,0.03280683,0.26617717,0.33179083
AB,F-RT,2014-15 ,Phi,0.2914787,0.0409269,0.2505518,0.3324056
AB,F-RT,2015-16 ,Phi,0.2217597,0.12067863,0.10108107,0.34243833
AB,F-RT,2016-17 ,Phi,0.2419787,0.15807291,0.08390579,0.40005161
AB,M-RT,2011-12,Phi,0.4190058,0.05606714,0.36293866,0.47507294
AB,M-MA,2012-13,Phi,0.8147703,0.05561333,0.75915697,0.87038363
AB,M-MA,2013-14 ,Phi,0.7873825,0.04070528,0.74667722,0.82808778
AB,M-MA,2014-15 ,Phi,0.7946441,0.03237832,0.76226578,0.82702242
AB,M-MA,2015-16 ,Phi,0.7258852,0.1152945,0.6105907,0.8411797
AB,M-MA,2016-17 ,Phi,0.6045363,0.34220277,0.26233353,0.94673907
AB,M-RT,2012-13,Phi,0.492789,0.09574931,0.39703969,0.58853831
AB,M-RT,2013-14 ,Phi,0.4345472,0.0310442,0.403503,0.4655914
AB,M-RT,2014-15 ,Phi,0.4568566,0.04599196,0.41086464,0.50284856
AB,M-RT,2015-16 ,Phi,0.372802,0.12989952,0.24290248,0.50270152
AB,M-RT,2016-17 ,Phi,0.3481697,0.21144249,0.13672721,0.55961219
AB,F-JUV,2011-12,Phi,0.1420741,0.03408277,0.10799133,0.17615687
AB,F-MY,2012-13,Phi,0.3064705,0.06748781,0.23898269,0.37395831
AB,F-MY,2013-14 ,Phi,0.6724391,0.06542494,0.60701416,0.73786404
AB,F-MY,2014-15 ,Phi,0.6543166,0.05658048,0.59773612,0.71089708
AB,F-MY,2015-16 ,Phi,0.5227683,0.24545515,0.27731315,0.76822345
AB,F-MY,2016-17 ,Phi,0.5277423,0.26377366,0.26396864,0.79151596
AB,F-JUV,2012-13,Phi,0.1242039,0.04927583,0.07492807,0.17347973
AB,F-JUV,2013-14 ,Phi,0.121657,0.04297089,0.07868611,0.16462789
AB,F-JUV,2014-15 ,Phi,0.1544444,10.86854963,0,1
AB,F-JUV,2015-16 ,Phi,0.1124851,0.09681579,0.01566931,0.20930089
