"ch" "GR" "weight" "FA" "BCI" "sex" "ageclass"
"0001000" "FA" 9 37.46666667 0.240213523 "F" "A"
"0010000" "FA" 11.4 36.66666667 0.310909091 "F" "A"
"0010000" "FA" 9 38.5 0.233766234 "F" "A"
"0000010" "FA" 9.3 37.46666667 0.248220641 "F" "A"
"0010000" "FA" 10.1 38.96666667 0.259195894 "F" "A"
"0010000" "MA" 12.7 38.3 0.331592689 "M" "A"
"0011000" "MA" 13.1 38 0.344736842 "M" "A"
"0010000" "MA" 12.3 39.76666667 0.309304275 "M" "A"
"0010000" "FA" 10.4 38.36666667 0.271068636 "F" "A"
"0010010" "MA" 10.3 37.46666667 0.274911032 "M" "A"
"0010000" "FA" 13.4 38.93333333 0.344178082 "F" "A"
"0010000" "MA" 12.6 39.8 0.316582915 "M" "A"
"0011100" "FJ" 10 38.7 0.258397933 "F" "J"
"0010000" "FA" 11 38.26666667 0.287456446 "F" "A"
"0001000" "FA" 8.7 39.63333333 0.219512195 "F" "A"
"0000001" "FA" 10 39 0.256410256 "F" "A"
"0001000" "FJ" 8.7 37.1 0.234501348 "F" "J"
"0001000" "FA" 7.5 37.06666667 0.202338129 "F" "A"
"0011000" "MA" 12.7 38.96666667 0.325919589 "M" "A"
"0001011" "MA" 10 37 0.27027027 "M" "A"
"0000001" "MA" 9.6 39.3 0.244274809 "M" "A"
"0010000" "MJ" 7.7 37.4 0.205882353 "M" "J"
"0001000" "FA" 8 37.45 0.213618158 "F" "A"
"0010000" "MA" 8.8 37.9 0.232189974 "M" "A"
"0001000" "MA" 7.1 36.97333333 0.192030292 "M" "A"
"0010000" "MA" 9.5 36.2 0.262430939 "M" "A"
"0010001" "MA" 11.3 37.3 0.302949062 "M" "A"
"0000010" "MA" 9.1 36.63333333 0.248407643 "M" "A"
"0001000" "FA" 8.8 39.51666667 0.222690848 "F" "A"
"0010010" "MA" 12.6 36.9 0.341463415 "M" "A"
"0010000" "FA" 9 38 0.236842105 "F" "A"
"0000100" "MJ" 7.2 38.6 0.186528497409326 "M" "J"
"0001000" "FA" 9.2 38.89333333 0.236544395 "F" "A"
"0010000" "MA" 10.6 38.76666667 0.273430782 "M" "A"
"0000111" "MA" 8.4 39.06666667 0.21501706482807 "M" "A"
"0011000" "FA" 13.2 38.13333333 0.346153846 "F" "A"
"0011000" "MJ" 12.2 38 0.321052632 "M" "J"
"0011100" "FA" 12.5 38.8 0.322164948 "F" "A"
"0010000" "MA" 12.05 37.25 0.323488714 "M" "A"
"0010000" "FA" 11.7 38.23333333 0.306015693 "F" "A"
"0000100" "MJ" 7.8 37.8 0.206349206349206 "M" "J"
"0001000" "FJ" 8.9 38.2 0.232984293 "F" "J"
"0011100" "FA" 10.5 40 0.2625 "F" "A"
"0000010" "MA" 9.1 37.46666667 0.242882562 "M" "A"
"0001000" "FA" 8.9 39.5 0.225316456 "F" "A"
"0001000" "FA" 8.7 38.34666667 0.226877608 "F" "A"
"0010000" "FJ" 9.4 37.13333333 0.253141831 "F" "J"
"0010000" "MA" 11.2 38.1 0.293963255 "M" "A"
"0000001" "MA" 9.1 37.86666667 0.240316901 "M" "A"
"0000100" "MA" 8.6 38.06666667 0.225919439559902 "M" "A"
"0011001" "FJ" 8.3 38.53333333 0.215397924 "F" "J"
"0010000" "MJ" 8 37.93333333 0.210896309 "M" "J"
"0010000" "MA" 11.5 37.5 0.306666667 "M" "A"
"0010000" "MA" 12.2 37.7 0.323607427 "M" "A"
"0010000" "MA" 10.8 38.1 0.283464567 "M" "A"
"0011000" "MA" 13.1 40 0.3275 "M" "A"
"0000001" "MA" 6.9 38.96666667 0.177074423 "M" "A"
"0001000" "MA" 7.4 37.56666667 0.196983141 "M" "A"
"0011000" "MA" 9.8 36.7 0.267029973 "M" "A"
"0010000" "FA" 10.3 37.83333333 0.272246696 "F" "A"
"0001000" "FA" 9.1 39.38333333 0.231062209 "F" "A"
"0011111" "MA" 11.4 38.13333333 0.298951049 "M" "A"
"0001000" "FA" 9 38.2 0.235602094 "F" "A"
"0001000" "MA" 8 37.63333333 0.212577502 "M" "A"
"0001001" "FA" 10.1 40.46666667 0.249588138 "F" "A"
"0000001" "FA" 8.2 38.03333333 0.215600351 "F" "A"
"0000100" "FJ" 8.3 37.43333333 0.221727515603003 "F" "J"
"0010001" "FA" 9.5 38.1 0.249343832 "F" "A"
"0001000" "FA" 7.9 38.77666667 0.203730766 "F" "A"
"0010000" "MA" 9.3 36.46666667 0.255027422 "M" "A"
"0001010" "MA" 8.1 38.60333333 0.20982644 "M" "A"
"0000001" "FA" 9 39.2 0.229591837 "F" "A"
"0000001" "FA" 7.7 156.4333333 0.049222246 "F" "A"
