capdate,area,location,code,recap,species,Age,sex,repro,mass,faavg,bci
24/05/2009,Grand.Rapids,Firecamp,6967900000,N,MYLU,NA,M,NA,7.4,36.7,0.201634877
24/05/2009,Grand.Rapids,Firecamp,6970400000,N,MYLU,NA,F,NA,8.7,39.45,0.220532319
24/05/2009,Grand.Rapids,Firecamp,000646E4AA,N,MYLU,NA,F,NA,8.1,38.65,0.209573092
24/05/2009,Grand.Rapids,Firecamp,000675B3A0,N,MYLU,NA,M,NA,8.2,40.18,0.204081633
24/05/2009,Grand.Rapids,Firecamp,0006966D7A,N,MYLU,NA,F,NA,6.9,38.77,0.177972659
24/05/2009,Grand.Rapids,Firecamp,0006966DD0,N,MYLU,NA,F,NA,8.3,37.68,0.220276008
24/05/2009,Grand.Rapids,Firecamp,0006966DFD,N,MYLU,NA,M,NA,7.7,37.78,0.20381154
24/05/2009,Grand.Rapids,Firecamp,000696733C,YB,MYLU,NA,M,NA,8.8,37.82,0.232681121
24/05/2009,Grand.Rapids,Firecamp,00069676F8,N,MYLU,NA,F,NA,7.6,38.26,0.198640878
24/05/2009,Grand.Rapids,Firecamp,00069677A6,N,MYLU,NA,F,NA,7.7,36.67,0.209980911
24/05/2009,Grand.Rapids,Firecamp,00069679DF,N,MYLU,NA,M,NA,7.8,38.2,0.204188482
24/05/2009,Grand.Rapids,Firecamp,0006967A3C,N,MYLU,NA,M,NA,7.6,37.61,0.202073917
24/05/2009,Grand.Rapids,Firecamp,0006967FC4,N,MYLU,NA,M,NA,7.8,37.23,0.209508461
24/05/2009,Grand.Rapids,Firecamp,00069685A1,N,MYLU,NA,M,NA,7.3,38.39,0.190153686
24/05/2009,Grand.Rapids,Firecamp,0006968B5C,YB,MYLU,NA,M,NA,8.4,38.27,0.219493076
24/05/2009,Grand.Rapids,Firecamp,0006968C78,N,MYLU,NA,F,NA,7.7,37.94,0.20295203
24/05/2009,Grand.Rapids,Firecamp,0006968FBA,N,MYLU,NA,F,NA,7.8,36.11,0.216006646
24/05/2009,Grand.Rapids,Firecamp,000696952E,N,MYLU,NA,M,NA,7.9,37.54,0.210442195
24/05/2009,Grand.Rapids,Firecamp,00069695C4,N,MYLU,NA,M,NA,8.6,39.66,0.216843167
24/05/2009,Grand.Rapids,Firecamp,0006969C05,N,MYLU,NA,M,NA,7.5,37.71,0.198886237
24/05/2009,Grand.Rapids,Firecamp,0006969D6C,N,MYLU,NA,F,NA,7.4,37.27,0.198551113
24/05/2009,Grand.Rapids,Firecamp,0006969D8D,N,MYLU,NA,F,NA,7.8,37.95,0.205533597
24/05/2009,Grand.Rapids,Firecamp,0006969D9F,N,MYLU,NA,M,NA,7.1,36.83,0.192777627
24/05/2009,Grand.Rapids,Firecamp,0006969DAC,YB,MYLU,NA,M,NA,8.4,39.65,0.21185372
24/05/2009,Grand.Rapids,Firecamp,000696A38E,YB,MYLU,NA,M,NA,7.9,37.69,0.20960467
24/05/2009,Grand.Rapids,Firecamp,000696E394,N,MYLU,NA,M,NA,7.4,37.08,0.199568501
24/05/2009,Grand.Rapids,Firecamp,000696E633,N,MYLU,NA,M,NA,7.3,39.2,0.18622449
24/05/2009,Grand.Rapids,Firecamp,000696E6BB,YB,MYLU,NA,M,NA,7.4,36.93,0.200379096
