"ch" "GR" "weight" "FA" "BCI" "sex" "ageclass"
"0010000" "FA" 13.3 39.1 0.340153453 "F" "A"
"0001110" "MA" 8.9 38.3 0.232375979 "M" "A"
"0011000" "FA" 13.7 38.53333333 0.355536332 "F" "A"
"0010000" "MA" 11.6 40.05 0.289637953 "M" "A"
"0010000" "MA" 10.7 38.66666667 0.276724138 "M" "A"
"0011100" "FA" 12.8 37.76666667 0.338923213 "F" "A"
"0010000" "FA" 13.2 38.73333333 0.340791738 "F" "A"
"0010000" "FA" 8.6 36.1 0.238227147 "F" "A"
"0011100" "MA" 12.5 38.166666665 0.327528604 "M" "A"
"0011000" "MA" 13.1 37.25 0.351677852 "M" "A"
"0000100" "MJ" 8.1 39.03333333 0.207514944509608 "M" "J"
"0001000" "FA" 9.1 38.83333333 0.234334764 "F" "A"
"0011100" "FA" 15.4 39.15 0.393358876 "F" "A"
"0011110" "MA" 12.6 39.26666667 0.320882852 "M" "A"
"0001100" "FA" 10.2 38 0.268421053 "F" "A"
"0001000" "MA" 8.2 38.03333333 0.215600351 "M" "A"
"0010000" "FA" 9.7 37.75 0.256953642 "F" "A"
"0010000" "MA" 10.9 37.83333333 0.288105727 "M" "A"
"0011110" "MA" 12.2 37 0.32972973 "M" "A"
"0011110" "FA" 8.8 37.73333333 0.233215548 "F" "A"
"0010000" "MA" 13.4 37.6 0.356382979 "M" "A"
"0010000" "MA" 11.2 37.03333333 0.302430243 "M" "A"
"0001000" "FA" 8.3 40.16666667 0.206639004 "F" "A"
"0001100" "MA" 7.7 37.73333333 0.204063604 "M" "A"
"0001110" "MA" 8.8 39.5 0.22278481 "M" "A"
"0011110" "MA" 10.75 39.183333335 0.2746618465 "M" "A"
"0011000" "FA" 13.2 37.26666667 0.354203936 "F" "A"
"0010000" "MA" 11.2 36.4 0.307692308 "M" "A"
"0010000" "MA" 12.6 39.33333333 0.320338983 "M" "A"
"0001000" "MA" 8.7 36.73333333 0.236842105 "M" "A"
"0011000" "FA" 13.7 39 0.351282051 "F" "A"
"0011100" "MA" 13.9 38.23333333 0.363557105 "M" "A"
"0001000" "MA" 8.6 38.16666667 0.225327511 "M" "A"
"0000100" "MJ" 9.5 38.93333333 0.244006849335959 "M" "J"
"0011110" "MA" 12.5 39.63333333 0.315391085 "M" "A"
"0000100" "MJ" 9.4 40.2 0.233830845771144 "M" "J"
"0000001" "MA" 7.2 37 0.194594595 "M" "A"
"0001100" "MA" 8.1 37.06666667 0.21852518 "M" "A"
"0010000" "MA" 13.1 40.03333333 0.327227311 "M" "A"
"0001000" "FA" 9.1 37.33333333 0.24375 "F" "A"
"0010000" "MA" 12.9 39.11666667 0.329782701 "M" "A"
"0000001" "MA" 9.1 37.96666667 0.239683933 "M" "A"
"0011100" "FA" 14.1 39.13333333 0.360306644 "F" "A"
"0011000" "FA" 13.9 36.56666667 0.380127621 "F" "A"
"0010000" "MA" 15.1 37.38333333 0.403923317 "M" "A"
"0011000" "FA" 12.9 38.43333333 0.335646141 "F" "A"
"0011110" "MA" 11.7 36.61666667 0.319526627 "M" "A"
"0010000" "MA" 11.5 37.45 0.307076101 "M" "A"
"0001000" "FA" 9 38.66666667 0.232758621 "F" "A"
"0010100" "MA" 11 37.83333333 0.290748899 "M" "A"
"0011000" "MA" 12.4 39.76666667 0.311818944 "M" "A"
"0010000" "FA" 13.6 38.51666667 0.353093899 "F" "A"
"0001000" "FA" 8.8 38.1 0.230971129 "F" "A"
"0011000" "MA" 12.4 37.73333333 0.328621908 "M" "A"
"0011100" "FA" 13.1 38.38333333 0.341293964 "F" "A"
"0010000" "MA" 11.1 37.96666667 0.292361721 "M" "A"
"0011000" "FA" 11.245 35.5 0.3208678205 "F" "A"
"0001100" "FA" 10.1 38.36666667 0.263249348 "F" "A"
"0001000" "MA" 8.8 38.26666667 0.229965157 "M" "A"
"0000100" "FJ" 10.4 38.4 0.270833333333333 "F" "J"
"0011010" "MA" 11.3 37.26666667 0.303220036 "M" "A"
